FIPS ,Name,State,Geography,Year,Time,Unemployment Rate,Population Estimate,Per capita personal income,EV registered,EV charging stations
34000,New Jersey,NJ,State,2020,0,9.4,9272392,70957,38160,1385
34001,Atlantic County,NJ,County,2020,0,17.1,274190,53533,835,43
34003,Bergen County,NJ,County,2020,0,9.2,953690,88461,5785,197
34005,Burlington County,NJ,County,2020,0,7.9,461682,65369,1867,60
34007,Camden County,NJ,County,2020,0,9.7,523122,56814,1748,45
34009,Cape May County,NJ,County,2020,0,13.7,95044,68836,482,36
34011,Cumberland County,NJ,County,2020,0,10.4,153719,44000,264,1
34013,Essex County,NJ,County,2020,0,11.2,859974,67857,2909,129
34015,Gloucester County,NJ,County,2020,0,8.9,302563,58451,978,34
34017,Hudson County,NJ,County,2020,0,10.2,721879,64653,1546,159
34019,Hunterdon County,NJ,County,2020,0,6.9,128786,93251,1081,21
34021,Mercer County,NJ,County,2020,0,7.2,386466,72811,2157,79
34023,Middlesex County,NJ,County,2020,0,8.5,861408,64841,3316,138
34025,Monmouth County,NJ,County,2020,0,8.5,642836,86588,3669,80
34027,Morris County,NJ,County,2020,0,7.5,508439,100797,3152,97
34029,Ocean County,NJ,County,2020,0,9.1,638465,56954,1663,44
34031,Passaic County,NJ,County,2020,0,12.1,523439,53539,1319,29
34033,Salem County,NJ,County,2020,0,9.2,64841,51979,166,6
34035,Somerset County,NJ,County,2020,0,7.5,344754,103317,2200,72
34037,Sussex County,NJ,County,2020,0,9,143915,67079,710,17
34039,Union County,NJ,County,2020,0,9.5,573660,70682,1935,96
34041,Warren County,NJ,County,2020,0,8.2,109520,59268,378,0
53000,Washington,WA,State,2020,0,8.5,7724566,67674,506453,3473
53001,Adams County,WA,County,2020,0,7.2,20607,43788,174,9
53003,Asotin County,WA,County,2020,0,5.1,22324,49729,244,2
53005,Benton County,WA,County,2020,0,8.2,207419,50724,5830,48
53007,Chelan County,WA,County,2020,0,8.3,79238,57951,2744,90
53009,Clallam County,WA,County,2020,0,10.2,77367,50927,3501,57
53011,Clark County,WA,County,2020,0,8.4,505338,57827,26778,149
53013,Columbia County,WA,County,2020,0,7.3,3949,58030,57,3
53015,Cowlitz County,WA,County,2020,0,9.3,111014,49999,2355,24
53017,Douglas County,WA,County,2020,0,8.4,43029,45851,969,5
53019,Ferry County,WA,County,2020,0,11.5,7198,43440,53,1
53021,Franklin County,WA,County,2020,0,8.9,97150,42484,1176,10
53023,Garfield County,WA,County,2020,0,8.4,2294,55960,6,0
53025,Grant County,WA,County,2020,0,8.8,99441,45301,1192,29
53027,Grays Harbor County,WA,County,2020,0,11.7,75855,43766,1905,21
53029,Island County,WA,County,2020,0,8.2,86998,59211,6107,18
53031,Jefferson County,WA,County,2020,0,9.4,33061,56431,3235,13
53033,King County,WA,County,2020,0,7.8,2274282,99372,279119,1779
53035,Kitsap County,WA,County,2020,0,7.7,275823,62192,17604,74
53037,Kittitas County,WA,County,2020,0,8.9,44599,50834,1360,34
53039,Klickitat County,WA,County,2020,0,8.2,22814,51544,812,0
53041,Lewis County,WA,County,2020,0,9.4,82553,48860,1905,29
53043,Lincoln County,WA,County,2020,0,6.7,10928,50818,117,1
53045,Mason County,WA,County,2020,0,9.9,66034,47670,2470,11
53047,Okanogan County,WA,County,2020,0,8.9,42139,46649,629,15
53049,Pacific County,WA,County,2020,0,10.9,23495,43984,557,9
53051,Pend Oreille County,WA,County,2020,0,10.4,13502,46684,99,0
53053,Pierce County,WA,County,2020,0,9.6,923589,55533,35068,225
53055,San Juan County,WA,County,2020,0,8.1,17826,81257,3476,19
53057,Skagit County,WA,County,2020,0,9.8,129902,57890,5600,49
53059,Skamania County,WA,County,2020,0,9.2,12041,56122,252,10
53061,Snohomish County,WA,County,2020,0,8.8,829933,62805,52502,246
53063,Spokane County,WA,County,2020,0,8.7,541175,49083,10486,186
53065,Stevens County,WA,County,2020,0,9.3,46591,42694,816,4
53067,Thurston County,WA,County,2020,0,8.2,295998,54831,19372,135
53069,Wahkiakum County,WA,County,2020,0,8.7,4448,48913,99,2
53071,Walla Walla County,WA,County,2020,0,6.8,62623,49569,1180,30
53073,Whatcom County,WA,County,2020,0,9.3,227449,53867,13573,79
53075,Whitman County,WA,County,2020,0,5.7,47807,44263,825,22
53077,Yakima County,WA,County,2020,0,9.6,256733,45996,2206,35
34000,New Jersey,NJ,State,2021,1,,9269175,76079,54169,1694
34001,Atlantic County,NJ,County,2021,1,6.7,274956,57351,1255,60
34003,Bergen County,NJ,County,2021,1,9.9,955383,94654,8076,219
34005,Burlington County,NJ,County,2021,1,6.3,464479,69619,2736,85
34007,Camden County,NJ,County,2021,1,5.7,524093,61023,2573,75
34009,Cape May County,NJ,County,2021,1,7.1,95706,73458,672,35
34011,Cumberland County,NJ,County,2021,1,9.3,152083,48073,395,1
34013,Essex County,NJ,County,2021,1,8.1,854233,74873,4137,143
34015,Gloucester County,NJ,County,2021,1,8.3,304592,62338,1497,44
34017,Hudson County,NJ,County,2021,1,6.4,703448,72709,2192,202
34019,Hunterdon County,NJ,County,2021,1,7.1,129671,98146,1469,29
34021,Mercer County,NJ,County,2021,1,4.9,382172,77984,2926,127
34023,Middlesex County,NJ,County,2021,1,5.5,862364,69931,4604,145
34025,Monmouth County,NJ,County,2021,1,6.1,646517,91247,5219,103
34027,Morris County,NJ,County,2021,1,5.9,510613,107660,4416,95
34029,Ocean County,NJ,County,2021,1,5.3,649825,59386,2584,53
34031,Passaic County,NJ,County,2021,1,6.3,518376,57951,1825,38
34033,Salem County,NJ,County,2021,1,8.7,65045,55067,230,21
34035,Somerset County,NJ,County,2021,1,7.7,346498,106848,3003,89
34037,Sussex County,NJ,County,2021,1,5.4,145721,70291,963,18
34039,Union County,NJ,County,2021,1,6.3,572833,75285,2868,102
34041,Warren County,NJ,County,2021,1,7,110567,61960,529,10
53000,Washington,WA,State,2021,1,5.9,7741433,74188,45646,3860
53001,Adams County,WA,County,2021,1,5.2,20647,47196,17,9
53003,Asotin County,WA,County,2021,1,5.4,22469,53209,20,2
53005,Benton County,WA,County,2021,1,3.8,210599,54663,507,42
53007,Chelan County,WA,County,2021,1,5.6,79778,62422,279,96
53009,Clallam County,WA,County,2021,1,5.4,78466,55026,324,63
53011,Clark County,WA,County,2021,1,6.6,512583,63923,2493,163
53013,Columbia County,WA,County,2021,1,5.5,4016,60341,11,8
53015,Cowlitz County,WA,County,2021,1,5.5,111685,54131,243,27
53017,Douglas County,WA,County,2021,1,6.4,43837,49319,82,5
53019,Ferry County,WA,County,2021,1,5.6,7290,46528,5,0
53021,Franklin County,WA,County,2021,1,8.9,98102,46781,121,7
53023,Garfield County,WA,County,2021,1,6.6,2344,56136,2,0
53025,Grant County,WA,County,2021,1,6,100427,48927,111,27
53027,Grays Harbor County,WA,County,2021,1,6.7,76838,47304,172,25
53029,Island County,WA,County,2021,1,7.7,87566,63973,559,18
53031,Jefferson County,WA,County,2021,1,5.7,33553,61489,287,16
53033,King County,WA,County,2021,1,6.2,2252980,111117,24660,2072
53035,Kitsap County,WA,County,2021,1,4.2,276589,66919,1666,87
53037,Kittitas County,WA,County,2021,1,5.1,44645,55250,135,41
53039,Klickitat County,WA,County,2021,1,6.4,23167,54250,73,2
53041,Lewis County,WA,County,2021,1,6.2,84569,51688,193,32
53043,Lincoln County,WA,County,2021,1,6.4,11284,53383,14,1
53045,Mason County,WA,County,2021,1,5,67246,51104,218,13
53047,Okanogan County,WA,County,2021,1,6.9,42772,50688,65,17
53049,Pacific County,WA,County,2021,1,6.7,23993,47323,49,9
53051,Pend Oreille County,WA,County,2021,1,7.9,13891,49572,10,2
53053,Pierce County,WA,County,2021,1,7.6,927402,59466,3225,243
53055,San Juan County,WA,County,2021,1,6.1,18618,84969,331,19
53057,Skagit County,WA,County,2021,1,5,131005,62412,528,57
53059,Skamania County,WA,County,2021,1,6.3,12209,61570,24,10
53061,Snohomish County,WA,County,2021,1,6.4,836097,67885,4818,249
53063,Spokane County,WA,County,2021,1,4.9,545510,54474,989,165
53065,Stevens County,WA,County,2021,1,5.4,47619,47157,74,4
53067,Thurston County,WA,County,2021,1,6.7,298196,59001,1706,138
53069,Wahkiakum County,WA,County,2021,1,5.2,4586,49604,9,2
53071,Walla Walla County,WA,County,2021,1,6.8,62211,54897,118,30
53073,Whatcom County,WA,County,2021,1,4.8,226701,58581,1233,87
53075,Whitman County,WA,County,2021,1,6,43224,51235,63,17
53077,Yakima County,WA,County,2021,1,4.3,256719,49637,212,55
34000,New Jersey,NJ,State,2022,2,3.9,9260817,77199,38152,2388
34001,Atlantic County,NJ,County,2022,2,5.4,275382,55918,1808,76
34003,Bergen County,NJ,County,2022,2,3.5,953540,97138,11423,339
34005,Burlington County,NJ,County,2022,2,3.5,466101,70448,3924,92
34007,Camden County,NJ,County,2022,2,4.2,524649,60489,3811,88
34009,Cape May County,NJ,County,2022,2,6.8,95405,71590,950,39
34011,Cumberland County,NJ,County,2022,2,5.3,151347,46791,555,1
34013,Essex County,NJ,County,2022,2,4.7,849724,75934,6020,208
34015,Gloucester County,NJ,County,2022,2,3.8,306767,62405,2217,71
34017,Hudson County,NJ,County,2022,2,3.8,702381,72730,3234,247
34019,Hunterdon County,NJ,County,2022,2,3,129805,102044,2087,33
34021,Mercer County,NJ,County,2022,2,3.3,380779,79354,4081,142
34023,Middlesex County,NJ,County,2022,2,3.5,861094,70951,6683,277
34025,Monmouth County,NJ,County,2022,2,3.5,644228,94381,7540,153
34027,Morris County,NJ,County,2022,2,3.2,511219,111597,6436,166
34029,Ocean County,NJ,County,2022,2,3.9,655663,59332,3903,50
34031,Passaic County,NJ,County,2022,2,4.8,513634,57067,2626,67
34033,Salem County,NJ,County,2022,2,4.8,65157,54250,342,37
34035,Somerset County,NJ,County,2022,2,3.2,347047,110753,4281,120
34037,Sussex County,NJ,County,2022,2,3.9,145575,71671,1374,28
34039,Union County,NJ,County,2022,2,4,570417,76616,4195,140
34041,Warren County,NJ,County,2022,2,3.6,110903,62921,775,14
53000,Washington,WA,State,2022,2,4.1,7784477,75332,91076,4073
53001,Adams County,WA,County,2022,2,4.9,20898,47933,32,9
53003,Asotin County,WA,County,2022,2,3.7,22536,54340,38,2
53005,Benton County,WA,County,2022,2,4.8,212829,54454,1121,47
53007,Chelan County,WA,County,2022,2,4.6,80038,62685,544,96
53009,Clallam County,WA,County,2022,2,5.7,77684,55566,646,63
53011,Clark County,WA,County,2022,2,4.5,516737,65522,5283,172
53013,Columbia County,WA,County,2022,2,5.2,4026,62566,6,8
53015,Cowlitz County,WA,County,2022,2,5.4,112064,54630,484,28
53017,Douglas County,WA,County,2022,2,5.1,44223,49114,178,5
53019,Ferry County,WA,County,2022,2,9,7468,44144,14,0
53021,Franklin County,WA,County,2022,2,5.9,98582,46072,282,11
53023,Garfield County,WA,County,2022,2,6.7,2357,58112,3,0
53025,Grant County,WA,County,2022,2,5.7,101580,48963,242,26
53027,Grays Harbor County,WA,County,2022,2,6.4,77041,46878,353,32
53029,Island County,WA,County,2022,2,4.7,86682,65564,1085,18
53031,Jefferson County,WA,County,2022,2,5.3,33570,62898,596,23
53033,King County,WA,County,2022,2,3,2265311,113819,48262,2109
53035,Kitsap County,WA,County,2022,2,4.3,277813,68198,3211,108
53037,Kittitas County,WA,County,2022,2,5.5,45122,55076,298,55
53039,Klickitat County,WA,County,2022,2,5.5,23303,53305,150,4
53041,Lewis County,WA,County,2022,2,5.7,85357,52769,389,37
53043,Lincoln County,WA,County,2022,2,5.1,11613,51953,23,10
53045,Mason County,WA,County,2022,2,6,68171,51375,437,16
53047,Okanogan County,WA,County,2022,2,6.1,43460,49552,121,17
53049,Pacific County,WA,County,2022,2,6.6,24095,46498,128,9
53051,Pend Oreille County,WA,County,2022,2,6.6,14138,48892,23,2
53053,Pierce County,WA,County,2022,2,4.9,926479,59986,6688,284
53055,San Juan County,WA,County,2022,2,3.8,18672,89744,625,15
53057,Skagit County,WA,County,2022,2,5,131322,62915,1073,68
53059,Skamania County,WA,County,2022,2,5,12455,62472,71,10
53061,Snohomish County,WA,County,2022,2,3.4,840452,69010,9734,250
53063,Spokane County,WA,County,2022,2,4.6,549740,54223,2172,175
53065,Stevens County,WA,County,2022,2,6.4,48283,46750,147,5
53067,Thurston County,WA,County,2022,2,4.4,298639,59697,3354,145
53069,Wahkiakum County,WA,County,2022,2,6.5,4688,50372,25,2
53071,Walla Walla County,WA,County,2022,2,4.4,61853,55436,243,41
53073,Whatcom County,WA,County,2022,2,4.7,230598,58993,2376,106
53075,Whitman County,WA,County,2022,2,4.4,47579,46672,134,15
53077,Yakima County,WA,County,2022,2,6.1,257019,49266,485,50
