Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2019,Alexandria,VA,Passenger,1,0,1,147,148,0.68
June 30 2023,Harrison,MS,Passenger,1,0,1,33,34,2.94
June 30 2023,Stevens,WA,Passenger,113,66,179,29632,29811,0.6
September 30 2019,Kittitas,WA,Truck,0,0,0,14570,14570,0
April 30 2024,Lincoln,WA,Truck,1,0,1,4779,4780,0.02
August 31 2022,Riverside,CA,Passenger,7,1,8,487,495,1.62
July 31 2018,Monroe,IL,Passenger,1,0,1,4,5,20
August 31 2022,King,WA,Passenger,42900,11626,54526,1342653,1397179,3.9
February 29 2020,Klickitat,WA,Truck,0,0,0,8297,8297,0
June 30 2019,Columbia,WA,Truck,0,0,0,1532,1532,0
March 31 2024,Pima,AZ,Passenger,1,0,1,162,163,0.61
May 31 2022,Fulton,GA,Passenger,1,1,2,77,79,2.53
December 31 2022,Placer,CA,Passenger,2,0,2,70,72,2.78
December 31 2020,Walla Walla,WA,Passenger,98,67,165,36115,36280,0.45
September 30 2022,Mohave,AZ,Passenger,1,0,1,46,47,2.13
August 31 2021,Lee,FL,Passenger,1,0,1,37,38,2.63
May 31 2021,Sedgwick,KS,Passenger,0,1,1,89,90,1.11
July 31 2021,Pierce,WA,Passenger,3635,2012,5647,558925,564572,1
February 29 2024,Klickitat,WA,Passenger,192,77,269,15077,15346,1.75
November 30 2019,San Diego,CA,Passenger,10,4,14,2796,2810,0.5
July 31 2024,Bexar,TX,Passenger,2,1,3,287,290,1.03
April 30 2017,Marin,CA,Passenger,1,0,1,60,61,1.64
April 30 2024,Lake,IL,Passenger,6,0,6,111,117,5.13
February 28 2022,Harford,MD,Passenger,1,1,2,50,52,3.85
April 30 2020,Klickitat,WA,Passenger,53,41,94,15418,15512,0.61
November 30 2020,Ferry,WA,Truck,0,0,0,3600,3600,0
December 31 2018,Klamath,OR,Passenger,1,0,1,39,40,2.5
September 30 2023,Laramie,WY,Passenger,1,0,1,25,26,3.85
December 31 2022,Virginia Beach,VA,Truck,1,0,1,116,117,0.85
June 30 2017,Monterey,CA,Passenger,0,1,1,211,212,0.47
November 30 2020,Ventura,CA,Passenger,1,1,2,290,292,0.68
June 30 2023,Ventura,CA,Passenger,2,3,5,234,239,2.09
January 31 2021,St. Mary's,MD,Passenger,1,0,1,211,212,0.47
August 31 2021,Collin,TX,Passenger,3,1,4,122,126,3.17
September 30 2022,Plaquemines,LA,Passenger,1,1,2,19,21,9.52
May 31 2023,Franklin,WA,Truck,4,0,4,20845,20849,0.02
November 30 2021,Ferry,WA,Truck,0,0,0,3602,3602,0
November 30 2017,Clallam,WA,Passenger,98,86,184,48869,49053,0.38
July 31 2020,Lewis,WA,Passenger,107,117,224,58121,58345,0.38
December 31 2019,Duval,FL,Passenger,1,2,3,368,371,0.81
January 31 2017,Clackamas,OR,Passenger,1,2,3,427,430,0.7
July 31 2022,Lane,OR,Passenger,0,2,2,107,109,1.83
November 30 2022,Danville,VA,Passenger,1,0,1,0,1,100
October 31 2021,Shelby,OH,Passenger,0,1,1,4,5,20
July 31 2020,Deschutes,OR,Passenger,3,0,3,146,149,2.01
February 28 2018,Orleans,LA,Passenger,0,1,1,47,48,2.08
April 30 2022,Galveston,TX,Passenger,0,1,1,20,21,4.76
November 30 2023,Solano,CA,Passenger,5,0,5,132,137,3.65
July 31 2017,El Paso,CO,Passenger,2,1,3,793,796,0.38
November 30 2020,Charleston,SC,Passenger,2,0,2,96,98,2.04
July 31 2023,Maricopa,AZ,Passenger,13,6,19,764,783,2.43
May 31 2022,Kern,CA,Passenger,0,1,1,196,197,0.51
April 30 2023,Mohave,AZ,Passenger,1,0,1,40,41,2.44
March 31 2024,Madison,IL,Passenger,2,0,2,14,16,12.5
May 31 2020,Klickitat,WA,Passenger,53,40,93,15266,15359,0.61
June 30 2019,Dakota,MN,Passenger,0,1,1,35,36,2.78
July 31 2020,Clackamas,OR,Passenger,2,0,2,198,200,1
April 30 2018,Cook,IL,Passenger,1,0,1,275,276,0.36
August 31 2023,Whitman,WA,Passenger,171,81,252,21951,22203,1.13
October 31 2020,Douglas,WA,Passenger,81,43,124,28062,28186,0.44
January 31 2022,Pierce,WA,Truck,0,0,0,144280,144280,0
August 31 2018,Klamath,OR,Passenger,1,0,1,37,38,2.63
August 31 2021,Alexandria,VA,Passenger,3,0,3,127,130,2.31
November 30 2019,New Haven,CT,Passenger,0,2,2,46,48,4.17
December 31 2018,Deschutes,OR,Passenger,3,0,3,177,180,1.67
May 31 2018,Ada,ID,Passenger,0,2,2,344,346,0.58
May 31 2024,Galveston,TX,Passenger,0,1,1,14,15,6.67
August 31 2018,Kootenai,ID,Passenger,0,1,1,224,225,0.44
November 30 2021,Henrico,VA,Passenger,0,1,1,14,15,6.67
March 31 2017,Thurston,WA,Passenger,364,313,677,185358,186035,0.36
June 30 2022,Skamania,WA,Truck,0,0,0,3965,3965,0
November 30 2023,Hoke,NC,Passenger,1,0,1,61,62,1.61
January 31 2021,Douglas,WA,Passenger,85,46,131,28193,28324,0.46
May 31 2021,Kauai,HI,Passenger,1,0,1,19,20,5
October 31 2022,Lake,FL,Passenger,1,0,1,20,21,4.76
February 28 2023,Tom Green,TX,Passenger,0,1,1,19,20,5
May 31 2020,Twin Falls,ID,Passenger,0,1,1,29,30,3.33
June 30 2023,Geary,KS,Passenger,1,0,1,71,72,1.39
November 30 2018,Eagle,CO,Passenger,1,0,1,5,6,16.67
July 31 2019,Pacific,WA,Passenger,24,30,54,16023,16077,0.34
May 31 2017,Nueces,TX,Passenger,0,1,1,98,99,1.01
April 30 2022,Kern,CA,Passenger,0,1,1,198,199,0.5
January 31 2020,Santa Rosa,FL,Passenger,1,0,1,90,91,1.1
October 31 2022,Kootenai,ID,Passenger,0,1,1,155,156,0.64
January 31 2024,Lee,AL,Passenger,1,0,1,13,14,7.14
November 30 2021,Bartow,GA,Passenger,0,1,1,4,5,20
July 31 2022,Kittitas,WA,Passenger,277,86,363,29663,30026,1.21
October 31 2023,San Joaquin,CA,Passenger,1,1,2,70,72,2.78
June 30 2023,Philadelphia,PA,Passenger,0,1,1,42,43,2.33
October 31 2020,Suffolk,MA,Passenger,0,2,2,39,41,4.88
February 28 2021,Ulster,NY,Passenger,1,0,1,12,13,7.69
May 31 2020,Carson City,NV,Passenger,1,0,1,10,11,9.09
August 31 2019,Franklin,MA,Passenger,0,1,1,2,3,33.33
May 31 2024,Spokane,WA,Truck,103,0,103,100703,100806,0.1
July 31 2024,Okanogan,WA,Passenger,187,87,274,25164,25438,1.08
February 29 2020,Lewis,WA,Passenger,108,107,215,59563,59778,0.36
June 30 2023,Kootenai,ID,Passenger,0,2,2,123,125,1.6
August 31 2019,Santa Cruz,CA,Passenger,1,0,1,40,41,2.44
June 30 2020,Williamson,TX,Passenger,0,2,2,149,151,1.32
August 31 2022,Pulaski,AR,Passenger,1,0,1,30,31,3.23
June 30 2019,Sarasota,FL,Passenger,1,0,1,33,34,2.94
September 30 2023,Yellowstone,MT,Passenger,0,1,1,13,14,7.14
April 30 2018,Island,WA,Passenger,184,178,362,62239,62601,0.58
September 30 2017,Dallas,TX,Passenger,0,1,1,186,187,0.53
September 30 2021,Escambia,FL,Passenger,0,1,1,149,150,0.67
January 31 2021,District of Columbia,DC,Passenger,2,1,3,184,187,1.6
March 31 2017,Franklin,OH,Passenger,0,1,1,117,118,0.85
April 30 2022,Coryell,TX,Passenger,1,0,1,104,105,0.95
February 29 2024,Kings,NY,Passenger,2,0,2,32,34,5.88
May 31 2021,Suffolk,MA,Passenger,0,2,2,36,38,5.26
June 30 2017,Whatcom,WA,Truck,2,0,2,41615,41617,0
November 30 2023,El Paso,CO,Passenger,5,2,7,469,476,1.47
July 31 2022,Wahkiakum,WA,Truck,0,0,0,1799,1799,0
July 31 2022,Burlington,NJ,Passenger,0,2,2,100,102,1.96
January 31 2024,Otero,NM,Passenger,0,1,1,23,24,4.17
September 30 2023,Kootenai,ID,Truck,1,0,1,26,27,3.7
January 31 2021,Shelby,OH,Passenger,0,1,1,3,4,25
July 31 2022,Cass,MN,Passenger,0,1,1,3,4,25
May 31 2023,Clallam,WA,Truck,19,0,19,21748,21767,0.09
February 28 2017,Northampton,PA,Passenger,2,0,2,231,233,0.86
August 31 2017,Latah,ID,Passenger,0,1,1,95,96,1.04
May 31 2020,Putnam,TN,Passenger,0,1,1,3,4,25
January 31 2024,Wilson,TX,Passenger,0,1,1,3,4,25
June 30 2018,Douglas,WA,Passenger,43,31,74,27649,27723,0.27
November 30 2018,Ferry,WA,Truck,0,0,0,3581,3581,0
July 31 2024,Newport,RI,Passenger,0,2,2,47,49,4.08
August 31 2018,Brevard,FL,Passenger,0,1,1,94,95,1.05
July 31 2019,Garfield,WA,Truck,0,0,0,959,959,0
October 31 2020,Garfield,WA,Truck,0,0,0,989,989,0
March 31 2019,Skagit,WA,Passenger,282,189,471,91316,91787,0.51
September 30 2019,San Juan,WA,Truck,0,0,0,5915,5915,0
July 31 2019,Allegheny,PA,Passenger,2,0,2,87,89,2.25
July 31 2023,New London,CT,Passenger,2,3,5,174,179,2.79
February 28 2022,Queens,NY,Passenger,1,0,1,53,54,1.85
March 31 2018,Hawaii,HI,Passenger,1,0,1,83,84,1.19
May 31 2018,St. Lucie,FL,Passenger,1,0,1,26,27,3.7
August 31 2023,Bell,TX,Passenger,2,0,2,255,257,0.78
April 30 2019,King,WA,Passenger,18275,6869,25144,1383458,1408602,1.79
March 31 2020,Thurston,WA,Passenger,1129,727,1856,198434,200290,0.93
March 31 2019,Bergen,NJ,Passenger,1,0,1,25,26,3.85
September 30 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
October 31 2022,Riverside,CA,Passenger,7,0,7,480,487,1.44
April 30 2022,Salt Lake,UT,Passenger,2,1,3,161,164,1.83
December 31 2019,Powhatan,VA,Passenger,1,0,1,1,2,50
April 30 2022,Sumter,SC,Passenger,0,1,1,29,30,3.33
December 31 2023,York,VA,Passenger,1,0,1,65,66,1.52
October 31 2021,Onslow,NC,Passenger,0,1,1,167,168,0.6
January 31 2023,Lee,AL,Passenger,1,0,1,17,18,5.56
June 30 2018,Kitsap,WA,Passenger,796,460,1256,178493,179749,0.7
March 31 2022,Lewis,WA,Passenger,224,166,390,59420,59810,0.65
December 31 2019,Ventura,CA,Passenger,0,2,2,317,319,0.63
October 31 2018,Multnomah,OR,Passenger,3,4,7,774,781,0.9
March 31 2023,Okanogan,WA,Truck,3,0,3,16484,16487,0.02
May 31 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5
February 29 2020,Lincoln,WA,Truck,0,0,0,4654,4654,0
December 31 2022,Alexandria,VA,Passenger,3,0,3,105,108,2.78
December 31 2020,Pinellas,FL,Passenger,1,1,2,107,109,1.83
March 31 2020,Kittitas,WA,Truck,0,0,0,14622,14622,0
July 31 2021,Allegheny,PA,Passenger,2,1,3,78,81,3.7
March 31 2020,Greene,MO,Passenger,0,1,1,33,34,2.94
January 31 2022,Juneau,AK,Passenger,0,1,1,33,34,2.94
October 31 2022,Spokane,WA,Passenger,1832,909,2741,323840,326581,0.84
January 31 2021,Charleston,SC,Passenger,2,0,2,90,92,2.17
January 31 2019,,,Passenger,3,2,5,423,428,1.17
November 30 2019,Larimer,CO,Passenger,1,0,1,53,54,1.85
January 31 2020,Skagit,WA,Passenger,380,215,595,92598,93193,0.64
May 31 2023,Whatcom,WA,Truck,57,0,57,42718,42775,0.13
January 31 2017,Alameda,CA,Passenger,6,1,7,403,410,1.71
August 31 2019,Hillsborough,FL,Passenger,0,1,1,208,209,0.48
February 28 2022,San Francisco,CA,Passenger,1,1,2,99,101,1.98
February 28 2022,Greene,MO,Passenger,0,1,1,30,31,3.23
March 31 2023,Randolph,NC,Passenger,1,0,1,2,3,33.33
September 30 2021,Garfield,WA,Passenger,0,3,3,1360,1363,0.22
August 31 2020,Grant,WA,Truck,0,0,0,27228,27228,0
November 30 2021,Thurston,WA,Passenger,1840,949,2789,196668,199457,1.4
September 30 2019,Carson City,NV,Passenger,1,0,1,10,11,9.09
July 31 2021,Prince William,VA,Passenger,1,3,4,210,214,1.87
June 30 2022,Mohave,AZ,Passenger,1,0,1,48,49,2.04
November 30 2018,Montgomery,PA,Passenger,2,0,2,34,36,5.56
March 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
June 30 2022,Benton,WA,Passenger,749,460,1209,135184,136393,0.89
September 30 2019,Maricopa,AZ,Passenger,7,6,13,1623,1636,0.79
February 28 2018,Orange,CA,Passenger,3,1,4,591,595,0.67
September 30 2018,Clallam,WA,Truck,0,0,0,21491,21491,0
March 31 2022,Washtenaw,MI,Passenger,0,1,1,31,32,3.12
April 30 2021,Burlington,NJ,Passenger,0,1,1,129,130,0.77
January 31 2017,Fairfax,VA,Passenger,3,2,5,879,884,0.57
April 30 2021,Skagit,WA,Passenger,564,268,832,91898,92730,0.9
January 31 2023,Ferry,WA,Truck,0,0,0,3555,3555,0
September 30 2023,Middlesex,MA,Passenger,2,0,2,80,82,2.44
July 31 2023,Garfield,WA,Passenger,0,3,3,1301,1304,0.23
February 28 2017,Missoula,MT,Passenger,1,0,1,80,81,1.23
April 30 2017,Jefferson,WA,Truck,0,0,0,9439,9439,0
June 30 2023,Yavapai,AZ,Passenger,0,1,1,21,22,4.55
December 31 2018,Frederick,MD,Passenger,0,1,1,76,77,1.3
November 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
April 30 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
August 31 2022,Kauai,HI,Passenger,1,0,1,16,17,5.88
July 31 2022,El Paso,CO,Passenger,3,3,6,620,626,0.96
June 30 2019,Duval,FL,Passenger,1,2,3,378,381,0.79
June 30 2023,Klickitat,WA,Passenger,151,64,215,15121,15336,1.4
August 31 2020,Washtenaw,MI,Passenger,1,1,2,37,39,5.13
November 30 2017,Portsmouth,VA,Passenger,0,1,1,64,65,1.54
February 29 2020,Hawaii,HI,Passenger,1,0,1,65,66,1.52
April 30 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
March 31 2024,Snohomish,WA,Passenger,17516,3826,21342,524542,545884,3.91
January 31 2020,Franklin,WA,Truck,0,0,0,19846,19846,0
June 30 2024,Jefferson,KY,Passenger,1,0,1,30,31,3.23
May 31 2021,Louisa,VA,Passenger,0,1,1,1,2,50
February 28 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
December 31 2019,Whatcom,WA,Passenger,988,477,1465,151626,153091,0.96
January 31 2019,Prince William,VA,Passenger,0,5,5,254,259,1.93
January 31 2024,Pitt,NC,Passenger,0,1,1,6,7,14.29
November 30 2020,Columbia,WA,Passenger,4,3,7,2437,2444,0.29
November 30 2021,Moore,NC,Passenger,0,1,1,121,122,0.82
May 31 2020,San Joaquin,CA,Passenger,1,0,1,134,135,0.74
February 28 2019,Polk,FL,Passenger,1,0,1,71,72,1.39
August 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
July 31 2023,Portsmouth,VA,Passenger,0,1,1,62,63,1.59
August 31 2019,Yakima,WA,Truck,0,0,0,59377,59377,0
September 30 2021,Lee,FL,Passenger,1,0,1,39,40,2.5
May 31 2023,Randolph,NC,Passenger,1,0,1,2,3,33.33
April 30 2023,Richland,SC,Passenger,0,1,1,113,114,0.88
August 31 2019,Rogers,OK,Passenger,1,0,1,8,9,11.11
July 31 2018,San Juan,PR,Passenger,0,1,1,4,5,20
August 31 2022,Stevens,WA,Truck,1,0,1,18882,18883,0.01
January 31 2019,Thurston,WA,Truck,0,0,0,54906,54906,0
August 31 2023,Skagit,WA,Passenger,1190,434,1624,88659,90283,1.8
March 31 2024,Stevens,WA,Passenger,145,73,218,29523,29741,0.73
August 31 2020,Chelan,WA,Passenger,248,80,328,54166,54494,0.6
November 30 2019,Kittitas,WA,Truck,0,0,0,14621,14621,0
July 31 2021,Contra Costa,CA,Passenger,2,3,5,253,258,1.94
August 31 2019,Bucks,PA,Passenger,1,0,1,27,28,3.57
February 28 2022,Wilson,TX,Passenger,0,1,1,3,4,25
June 30 2022,Skagit,WA,Passenger,780,337,1117,90009,91126,1.23
November 30 2019,Arlington,VA,Passenger,0,2,2,158,160,1.25
February 28 2018,Okaloosa,FL,Passenger,1,0,1,180,181,0.55
May 31 2022,Mason,WA,Passenger,302,177,479,47275,47754,1
June 30 2019,El Paso,CO,Passenger,3,2,5,739,744,0.67
July 31 2024,Wahkiakum,WA,Passenger,40,25,65,3003,3068,2.12
November 30 2019,Columbia,WA,Truck,0,0,0,1535,1535,0
September 30 2021,Placer,CA,Passenger,2,0,2,76,78,2.56
March 31 2017,Alameda,CA,Passenger,3,1,4,386,390,1.03
September 30 2021,Middlesex,MA,Passenger,1,0,1,96,97,1.03
January 31 2021,Spartanburg,SC,Passenger,0,1,1,54,55,1.82
October 31 2017,Montgomery,TX,Passenger,1,0,1,62,63,1.59
January 31 2023,Montgomery,AL,Passenger,1,1,2,36,38,5.26
January 31 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50
February 28 2021,Snohomish,WA,Truck,1,0,1,125695,125696,0
November 30 2020,Clark,WA,Truck,0,0,0,83188,83188,0
July 31 2020,Clark,WA,Passenger,2099,1066,3165,317822,320987,0.99
April 30 2017,Missoula,MT,Passenger,1,0,1,76,77,1.3
April 30 2023,Salt Lake,UT,Passenger,3,1,4,128,132,3.03
December 31 2023,Loudoun,VA,Passenger,2,1,3,58,61,4.92
November 30 2020,Hamilton,IN,Passenger,2,0,2,38,40,5
June 30 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
January 31 2021,Kitsap,WA,Truck,0,0,0,54262,54262,0
January 31 2023,Onslow,NC,Passenger,0,1,1,153,154,0.65
May 31 2023,Broward,FL,Passenger,1,0,1,65,66,1.52
April 30 2018,Virginia Beach,VA,Passenger,2,1,3,680,683,0.44
February 29 2020,Penobscot,ME,Passenger,0,1,1,15,16,6.25
April 30 2023,Yakima,WA,Truck,11,0,11,61114,61125,0.02
September 30 2021,Whatcom,WA,Passenger,1540,641,2181,150397,152578,1.43
July 31 2019,Lincoln,WA,Passenger,2,10,12,7791,7803,0.15
July 31 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
August 31 2023,Orange,CA,Passenger,9,3,12,333,345,3.48
May 31 2023,Washtenaw,MI,Passenger,0,2,2,24,26,7.69
May 31 2023,Bell,TX,Passenger,1,0,1,279,280,0.36
December 31 2022,,,Passenger,4,0,4,302,306,1.31
November 30 2022,Kauai,HI,Passenger,1,1,2,15,17,11.76
May 31 2024,DeKalb,GA,Truck,1,0,1,0,1,100
October 31 2023,Suffolk,VA,Passenger,1,0,1,99,100,1
January 31 2018,Ferry,WA,Truck,0,0,0,3544,3544,0
August 31 2019,Norfolk,VA,Passenger,2,2,4,345,349,1.15
November 30 2022,New York,NY,Passenger,2,0,2,37,39,5.13
September 30 2019,Garfield,WA,Truck,0,0,0,968,968,0
December 31 2023,Albemarle,VA,Passenger,2,0,2,13,15,13.33
October 31 2018,Eagle,CO,Passenger,1,0,1,5,6,16.67
July 31 2020,Ferry,WA,Passenger,7,3,10,4333,4343,0.23
August 31 2022,Harris,TX,Passenger,1,0,1,170,171,0.58
January 31 2018,Eagle,CO,Passenger,1,0,1,6,7,14.29
February 28 2017,Grant,WA,Passenger,16,21,37,60186,60223,0.06
March 31 2024,Island,WA,Passenger,1385,513,1898,60776,62674,3.03
October 31 2019,DuPage,IL,Passenger,3,0,3,64,67,4.48
March 31 2023,Bexar,TX,Passenger,3,3,6,420,426,1.41
June 30 2021,Los Angeles,CA,Passenger,9,11,20,951,971,2.06
July 31 2024,Duval,FL,Passenger,1,0,1,175,176,0.57
June 30 2022,Providence,RI,Passenger,1,0,1,23,24,4.17
March 31 2022,Allegheny,PA,Passenger,2,1,3,69,72,4.17
July 31 2021,Kings,NY,Passenger,1,0,1,70,71,1.41
August 31 2018,Asotin,WA,Passenger,11,8,19,12657,12676,0.15
December 31 2018,Hennepin,MN,Passenger,2,0,2,107,109,1.83
January 31 2023,,,Passenger,4,0,4,295,299,1.34
July 31 2023,Marion,OR,Passenger,1,0,1,71,72,1.39
December 31 2021,Tarrant,TX,Passenger,3,0,3,149,152,1.97
February 28 2023,Ventura,CA,Passenger,3,3,6,243,249,2.41
September 30 2020,Hillsborough,FL,Passenger,0,1,1,181,182,0.55
August 31 2023,Yakima,WA,Truck,15,0,15,61029,61044,0.02
June 30 2022,Snohomish,WA,Truck,12,0,12,123800,123812,0.01
August 31 2020,Wahkiakum,WA,Truck,0,0,0,1745,1745,0
June 30 2024,Lewis,WA,Passenger,468,386,854,58621,59475,1.44
June 30 2021,Virginia Beach,VA,Passenger,2,0,2,626,628,0.32
October 31 2021,El Paso,CO,Passenger,2,1,3,681,684,0.44
December 31 2022,Randolph,NC,Passenger,1,0,1,4,5,20
May 31 2023,Cowlitz,WA,Truck,8,0,8,28244,28252,0.03
January 31 2022,Okaloosa,FL,Passenger,0,1,1,115,116,0.86
December 31 2022,Washoe,NV,Passenger,1,0,1,57,58,1.72
August 31 2021,Monterey,CA,Passenger,0,3,3,164,167,1.8
September 30 2022,Multnomah,OR,Passenger,2,3,5,541,546,0.92
January 31 2023,Charles,MD,Passenger,1,1,2,56,58,3.45
July 31 2018,DuPage,IL,Passenger,1,0,1,65,66,1.52
September 30 2022,Clark,NV,Passenger,9,3,12,535,547,2.19
October 31 2021,San Mateo,CA,Passenger,2,0,2,98,100,2
April 30 2023,Sarasota,FL,Passenger,1,0,1,29,30,3.33
January 31 2017,Wahkiakum,WA,Truck,0,0,0,1624,1624,0
December 31 2021,Columbia,OR,Passenger,1,0,1,25,26,3.85
February 29 2024,Laramie,WY,Passenger,1,0,1,25,26,3.85
October 31 2018,Franklin,MA,Passenger,0,1,1,2,3,33.33
March 31 2023,Chelan,WA,Passenger,580,150,730,54167,54897,1.33
April 30 2024,Asotin,WA,Passenger,46,24,70,12224,12294,0.57
July 31 2021,King,WA,Truck,5,1,6,184261,184267,0
July 31 2019,Lewis,WA,Passenger,100,98,198,59351,59549,0.33
June 30 2023,Riverside,CA,Passenger,7,0,7,412,419,1.67
April 30 2019,Polk,FL,Passenger,1,0,1,73,74,1.35
December 31 2023,Gwinnett,GA,Passenger,1,0,1,46,47,2.13
December 31 2021,Prince George's,MD,Passenger,2,1,3,153,156,1.92
August 31 2020,Ramsey,MN,Passenger,1,0,1,44,45,2.22
January 31 2024,Maui,HI,Passenger,1,0,1,21,22,4.55
July 31 2019,Harrison,MS,Passenger,1,0,1,64,65,1.54
April 30 2018,Stevens,WA,Passenger,10,24,34,31583,31617,0.11
July 31 2019,Chelan,WA,Truck,0,0,0,22344,22344,0
February 28 2018,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
June 30 2017,Orleans,LA,Passenger,0,1,1,46,47,2.13
April 30 2024,Brevard,FL,Passenger,1,0,1,54,55,1.82
January 31 2023,Howard,MD,Passenger,0,2,2,60,62,3.23
January 31 2021,King,WA,Truck,6,1,7,184268,184275,0
August 31 2017,El Paso,CO,Passenger,2,1,3,782,785,0.38
July 31 2021,Yamhill,OR,Passenger,1,0,1,41,42,2.38
June 30 2020,Clay,FL,Passenger,0,1,1,86,87,1.15
December 31 2018,Skamania,WA,Truck,0,0,0,4009,4009,0
May 31 2020,DuPage,IL,Passenger,4,0,4,61,65,6.15
April 30 2022,Ferry,WA,Truck,0,0,0,3566,3566,0
March 31 2018,Douglas,WA,Truck,0,0,0,11854,11854,0
February 29 2020,Clay,FL,Passenger,0,1,1,87,88,1.14
October 31 2022,Lewis,WA,Truck,2,0,2,26336,26338,0.01
May 31 2024,Arapahoe,CO,Passenger,2,1,3,64,67,4.48
May 31 2022,Kootenai,ID,Passenger,0,1,1,168,169,0.59
March 31 2023,Essex,MA,Passenger,1,0,1,13,14,7.14
April 30 2023,Wahkiakum,WA,Truck,2,0,2,1792,1794,0.11
November 30 2019,Berkshire,MA,Passenger,0,1,1,5,6,16.67
October 31 2017,King,WA,Truck,7,1,8,185808,185816,0
July 31 2023,Lewis,WA,Passenger,339,222,561,59378,59939,0.94
December 31 2019,Norfolk,VA,Passenger,1,2,3,348,351,0.85
April 30 2019,El Paso,TX,Passenger,3,0,3,477,480,0.62
May 31 2017,Utah,UT,Passenger,0,1,1,171,172,0.58
October 31 2018,Pierce,WA,Truck,0,0,0,138727,138727,0
September 30 2021,Jefferson,WA,Passenger,357,187,544,24786,25330,2.15
December 31 2017,Fairfax,VA,Passenger,3,1,4,821,825,0.48
September 30 2017,Maui,HI,Passenger,1,0,1,71,72,1.39
December 31 2018,Manatee,FL,Passenger,1,0,1,41,42,2.38
June 30 2019,Charleston,SC,Passenger,1,0,1,118,119,0.84
August 31 2020,Montgomery,AL,Passenger,1,1,2,41,43,4.65
December 31 2020,Okanogan,WA,Passenger,54,36,90,26050,26140,0.34
June 30 2024,Sedgwick,KS,Passenger,0,1,1,41,42,2.38
February 29 2024,Bay,FL,Passenger,1,0,1,19,20,5
December 31 2018,Columbia,WA,Truck,0,0,0,1517,1517,0
January 31 2017,Gwinnett,GA,Passenger,0,1,1,97,98,1.02
August 31 2022,Lake,FL,Passenger,1,0,1,20,21,4.76
September 30 2019,Lake,CA,Passenger,0,1,1,10,11,9.09
March 31 2021,Kittitas,WA,Truck,0,0,0,14757,14757,0
October 31 2022,Stevens,WA,Passenger,84,56,140,29945,30085,0.47
March 31 2019,Columbia,WA,Passenger,2,2,4,2427,2431,0.16
April 30 2021,,,Passenger,4,2,6,355,361,1.66
February 28 2022,Klickitat,WA,Truck,0,0,0,8320,8320,0
December 31 2022,Deschutes,OR,Passenger,2,0,2,89,91,2.2
March 31 2018,Howard,MD,Passenger,0,1,1,91,92,1.09
September 30 2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55
June 30 2019,Placer,CA,Passenger,1,0,1,112,113,0.88
October 31 2022,Hardin,KY,Passenger,1,0,1,63,64,1.56
September 30 2019,Ada,ID,Passenger,0,2,2,316,318,0.63
May 31 2022,Salt Lake,UT,Passenger,2,1,3,158,161,1.86
October 31 2022,Los Angeles,CA,Passenger,5,6,11,812,823,1.34
May 31 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
February 28 2023,Sarasota,FL,Passenger,1,0,1,30,31,3.23
January 31 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
April 30 2021,Harnett,NC,Passenger,1,1,2,189,191,1.05
