Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2017,Chelan,WA,Passenger,55,30,85,51681,51766,0.16
December 31 2018,Whatcom,WA,Truck,2,0,2,42657,42659,0
March 31 2017,Tarrant,TX,Passenger,0,2,2,293,295,0.68
November 30 2021,Kern,CA,Passenger,0,1,1,202,203,0.49
October 31 2019,Norfolk,MA,Passenger,1,0,1,38,39,2.56
January 31 2023,DeKalb,GA,Passenger,1,0,1,48,49,2.04
December 31 2022,Yavapai,AZ,Passenger,0,1,1,24,25,4
March 31 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25
May 31 2020,Tarrant,TX,Passenger,1,0,1,180,181,0.55
April 30 2018,Ventura,CA,Passenger,0,1,1,331,332,0.3
September 30 2023,New Haven,CT,Passenger,0,2,2,26,28,7.14
May 31 2024,Allegheny,PA,Passenger,2,0,2,47,49,4.08
April 30 2022,Cumberland,NC,Passenger,2,4,6,397,403,1.49
June 30 2018,Snohomish,WA,Truck,1,0,1,121637,121638,0
April 30 2019,Yakima,WA,Truck,0,0,0,58936,58936,0
September 30 2021,Geary,KS,Passenger,1,0,1,101,102,0.98
June 30 2017,DeKalb,GA,Passenger,1,0,1,88,89,1.12
January 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50
October 31 2018,Chelan,WA,Truck,0,0,0,22051,22051,0
July 31 2021,Kitsap,WA,Passenger,1912,870,2782,180407,183189,1.52
August 31 2022,Grant,WA,Passenger,198,106,304,66669,66973,0.45
October 31 2022,Harnett,NC,Passenger,2,0,2,155,157,1.27
July 31 2024,Mobile,AL,Passenger,1,0,1,21,22,4.55
September 30 2022,Escambia,FL,Passenger,0,1,1,144,145,0.69
August 31 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
September 30 2018,Lee,AL,Passenger,1,0,1,37,38,2.63
June 30 2020,Wahkiakum,WA,Passenger,6,6,12,2991,3003,0.4
January 31 2023,Skagit,WA,Truck,11,0,11,32062,32073,0.03
October 31 2018,Duval,FL,Passenger,1,2,3,384,387,0.78
February 29 2024,Sacramento,CA,Passenger,1,1,2,143,145,1.38
May 31 2022,York,VA,Passenger,1,0,1,90,91,1.1
April 30 2023,Portsmouth,VA,Passenger,0,1,1,66,67,1.49
August 31 2017,Palm Beach,FL,Passenger,0,2,2,98,100,2
July 31 2022,Alexandria,VA,Passenger,4,0,4,115,119,3.36
December 31 2019,Whitman,WA,Truck,0,0,0,8578,8578,0
November 30 2023,Kittitas,WA,Truck,19,0,19,14626,14645,0.13
February 28 2018,San Mateo,CA,Passenger,0,1,1,140,141,0.71
November 30 2018,Sacramento,CA,Passenger,0,1,1,316,317,0.32
June 30 2022,Sonoma,CA,Passenger,0,1,1,90,91,1.1
April 30 2017,Skamania,WA,Truck,0,0,0,3872,3872,0
June 30 2021,Pima,AZ,Passenger,2,1,3,311,314,0.96
July 31 2022,Boulder,CO,Passenger,2,0,2,47,49,4.08
May 31 2020,Calvert,MD,Passenger,0,2,2,90,92,2.17
July 31 2023,Otero,NM,Passenger,0,1,1,26,27,3.7
January 31 2021,Twin Falls,ID,Passenger,0,1,1,28,29,3.45
May 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
May 31 2022,Okaloosa,FL,Passenger,0,1,1,106,107,0.93
June 30 2024,Spotsylvania,VA,Passenger,0,1,1,20,21,4.76
June 30 2021,Columbia,WA,Truck,0,0,0,1545,1545,0
May 31 2018,Northampton,PA,Passenger,0,1,1,63,64,1.56
February 28 2021,Montgomery,PA,Passenger,1,0,1,26,27,3.7
June 30 2018,King,WA,Passenger,13167,5675,18842,1370612,1389454,1.36
October 31 2022,Yakima,WA,Passenger,395,214,609,166218,166827,0.37
March 31 2018,Chelan,WA,Truck,0,0,0,21715,21715,0
May 31 2024,Kitsap,WA,Truck,140,0,140,51275,51415,0.27
July 31 2017,Walla Walla,WA,Truck,0,0,0,13176,13176,0
June 30 2023,San Mateo,CA,Passenger,2,0,2,71,73,2.74
March 31 2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55
March 31 2024,Newport News,VA,Passenger,1,0,1,95,96,1.04
November 30 2021,Lake,IL,Passenger,3,0,3,169,172,1.74
September 30 2017,Norfolk,MA,Passenger,1,0,1,40,41,2.44
January 31 2021,Collier,FL,Passenger,1,0,1,20,21,4.76
July 31 2017,Sedgwick,KS,Passenger,0,1,1,111,112,0.89
April 30 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
June 30 2017,Pacific,WA,Truck,0,0,0,7466,7466,0
August 31 2022,Asotin,WA,Truck,0,0,0,6678,6678,0
December 31 2019,Garfield,WA,Passenger,0,1,1,1304,1305,0.08
October 31 2023,Loudoun,VA,Passenger,2,1,3,61,64,4.69
October 31 2023,Burlington,NJ,Passenger,2,2,4,81,85,4.71
August 31 2020,Prince William,VA,Passenger,2,3,5,226,231,2.16
February 29 2024,Santa Cruz,CA,Passenger,1,0,1,18,19,5.26
June 30 2021,Wilson,NC,Passenger,1,0,1,0,1,100
February 28 2019,Columbia,WA,Passenger,2,2,4,2430,2434,0.16
September 30 2019,Clark,WA,Truck,0,0,0,80940,80940,0
May 31 2018,Yakima,WA,Truck,0,0,0,58329,58329,0
May 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
March 31 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
May 31 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
June 30 2020,Rogers,OK,Passenger,1,0,1,9,10,10
September 30 2017,Grays Harbor,WA,Passenger,38,38,76,45124,45200,0.17
July 31 2020,Lee,FL,Passenger,1,0,1,49,50,2
July 31 2023,Thurston,WA,Truck,64,0,64,53827,53891,0.12
May 31 2022,Orange,NC,Passenger,0,1,1,10,11,9.09
March 31 2023,Middlesex,MA,Passenger,2,0,2,83,85,2.35
June 30 2019,Santa Rosa,FL,Passenger,1,0,1,90,91,1.1
December 31 2022,Polk,OR,Passenger,1,1,2,21,23,8.7
December 31 2018,Randolph,NC,Passenger,1,0,1,6,7,14.29
March 31 2017,Jefferson,WA,Passenger,94,57,151,23648,23799,0.63
April 30 2021,Grant,WA,Truck,0,0,0,27864,27864,0
March 31 2022,Clark,NV,Passenger,8,3,11,599,610,1.8
September 30 2023,Virginia Beach,VA,Truck,1,0,1,102,103,0.97
February 29 2020,Snohomish,WA,Passenger,4301,1728,6029,537935,543964,1.11
February 29 2024,Lewis,WA,Passenger,417,327,744,58669,59413,1.25
December 31 2020,Adams,WA,Passenger,10,7,17,12950,12967,0.13
January 31 2019,Grays Harbor,WA,Passenger,67,76,143,47437,47580,0.3
December 31 2021,Pierce,WA,Truck,0,0,0,144648,144648,0
November 30 2018,Jefferson,WA,Truck,0,0,0,9607,9607,0
December 31 2022,Arlington,VA,Passenger,1,0,1,123,124,0.81
October 31 2023,,,Passenger,4,1,5,256,261,1.92
October 31 2021,Lincoln,WA,Truck,0,0,0,4801,4801,0
September 30 2022,Placer,CA,Passenger,2,0,2,73,75,2.67
September 30 2018,Larimer,CO,Passenger,1,0,1,60,61,1.64
March 31 2023,Montgomery,PA,Passenger,1,0,1,21,22,4.55
January 31 2020,King,WA,Passenger,23189,7617,30806,1398403,1429209,2.16
January 31 2022,Skamania,WA,Passenger,60,43,103,8294,8397,1.23
January 31 2019,Middlesex,MA,Passenger,1,0,1,120,121,0.83
April 30 2018,Snohomish,WA,Truck,1,0,1,121247,121248,0
November 30 2020,Stevens,WA,Passenger,37,39,76,30256,30332,0.25
May 31 2019,Wahkiakum,WA,Passenger,2,2,4,3015,3019,0.13
August 31 2020,Santa Clara,CA,Passenger,9,2,11,292,303,3.63
July 31 2020,Orange,CA,Passenger,7,2,9,507,516,1.74
June 30 2024,San Mateo,CA,Passenger,3,0,3,47,50,6
October 31 2023,Lexington,SC,Passenger,1,0,1,20,21,4.76
January 31 2020,Fairfax,VA,Passenger,5,1,6,767,773,0.78
February 28 2022,Yellowstone,MT,Passenger,0,1,1,29,30,3.33
November 30 2021,Williams,ND,Passenger,0,1,1,8,9,11.11
December 31 2020,Alexandria,VA,Passenger,3,0,3,136,139,2.16
June 30 2023,Harris,TX,Passenger,2,1,3,162,165,1.82
October 31 2023,New York,NY,Passenger,2,0,2,34,36,5.56
August 31 2017,Sumter,FL,Passenger,0,1,1,11,12,8.33
May 31 2024,Franklin,WA,Passenger,448,180,628,62005,62633,1
May 31 2023,,,Passenger,5,0,5,284,289,1.73
September 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
January 31 2022,Harford,MD,Passenger,1,1,2,52,54,3.7
March 31 2023,Sacramento,CA,Passenger,3,1,4,196,200,2
December 31 2019,San Joaquin,CA,Passenger,1,0,1,145,146,0.68
July 31 2022,Hennepin,MN,Passenger,1,0,1,57,58,1.72
May 31 2022,Walla Walla,WA,Truck,0,0,0,13963,13963,0
June 30 2019,Rogers,OK,Passenger,1,0,1,7,8,12.5
August 31 2017,Prince William,VA,Passenger,0,4,4,264,268,1.49
October 31 2021,Missoula,MT,Passenger,1,0,1,59,60,1.67
July 31 2021,San Francisco,CA,Passenger,0,1,1,100,101,0.99
February 28 2022,Wilson,NC,Passenger,1,0,1,0,1,100
May 31 2018,Franklin,WA,Passenger,38,63,101,57676,57777,0.17
November 30 2018,Pacific,WA,Passenger,20,23,43,15798,15841,0.27
July 31 2022,Hamilton,OH,Passenger,1,0,1,35,36,2.78
May 31 2017,Lincoln,WA,Passenger,2,5,7,7505,7512,0.09
August 31 2022,Chesapeake,VA,Passenger,3,1,4,355,359,1.11
December 31 2018,Santa Clara,CA,Passenger,8,1,9,382,391,2.3
April 30 2021,Duval,FL,Passenger,0,2,2,358,360,0.56
February 28 2018,St. Clair,IL,Passenger,0,1,1,159,160,0.62
December 31 2019,Collier,FL,Passenger,1,0,1,21,22,4.55
September 30 2019,Harnett,NC,Passenger,1,1,2,219,221,0.9
May 31 2018,Collin,TX,Passenger,1,0,1,165,166,0.6
April 30 2019,Collin,TX,Passenger,2,1,3,151,154,1.95
October 31 2023,Kern,CA,Passenger,1,1,2,161,163,1.23
June 30 2018,Walla Walla,WA,Truck,0,0,0,13416,13416,0
May 31 2021,Orange,NC,Passenger,0,1,1,13,14,7.14
March 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20
January 31 2017,Grant,WA,Passenger,16,21,37,60380,60417,0.06
November 30 2023,King,WA,Truck,963,2,965,173217,174182,0.55
February 28 2019,Wahkiakum,WA,Truck,0,0,0,1720,1720,0
March 31 2022,Pima,AZ,Passenger,1,1,2,283,285,0.7
September 30 2021,Fresno,CA,Passenger,1,0,1,187,188,0.53
February 28 2022,Tarrant,TX,Passenger,3,0,3,149,152,1.97
September 30 2022,Washtenaw,MI,Passenger,0,1,1,29,30,3.33
February 28 2023,Lincoln,OR,Passenger,0,1,1,19,20,5
February 28 2023,Lake,IL,Passenger,2,0,2,134,136,1.47
June 30 2019,Wahkiakum,WA,Passenger,2,2,4,3008,3012,0.13
June 30 2022,Wahkiakum,WA,Passenger,23,11,34,3070,3104,1.1
May 31 2020,Montgomery,TX,Passenger,1,0,1,56,57,1.75
November 30 2021,St. Clair,IL,Passenger,1,0,1,130,131,0.76
June 30 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
October 31 2021,Meade,KY,Passenger,1,0,1,26,27,3.7
April 30 2019,King,WA,Truck,5,1,6,181763,181769,0
May 31 2019,Cowlitz,WA,Truck,0,0,0,28836,28836,0
August 31 2020,Norfolk,VA,Passenger,2,2,4,342,346,1.16
May 31 2020,Clay,FL,Passenger,0,1,1,84,85,1.18
July 31 2019,Penobscot,ME,Passenger,0,1,1,13,14,7.14
December 31 2019,Polk,FL,Passenger,1,0,1,78,79,1.27
January 31 2024,Harford,MD,Passenger,1,1,2,42,44,4.55
April 30 2022,Kitsap,WA,Passenger,2323,1020,3343,178612,181955,1.84
May 31 2023,Franklin,WA,Passenger,301,137,438,61985,62423,0.7
October 31 2023,Spokane,WA,Truck,48,0,48,101817,101865,0.05
December 31 2019,Harford,MD,Passenger,0,1,1,61,62,1.61
September 30 2023,Chesterfield,VA,Passenger,1,0,1,34,35,2.86
January 31 2024,Sedgwick,KS,Passenger,0,1,1,43,44,2.27
September 30 2017,Sumter,FL,Passenger,0,1,1,11,12,8.33
March 31 2022,Douglas,WA,Passenger,126,56,182,28514,28696,0.63
November 30 2018,Columbia,WA,Passenger,2,2,4,2437,2441,0.16
May 31 2021,Newport,RI,Passenger,0,1,1,77,78,1.28
April 30 2024,Honolulu,HI,Passenger,5,2,7,233,240,2.92
June 30 2017,Nueces,TX,Passenger,0,1,1,96,97,1.03
February 28 2023,Muscogee,GA,Passenger,1,2,3,109,112,2.68
October 31 2021,Denton,TX,Passenger,1,0,1,82,83,1.2
February 29 2024,Marion,IA,Passenger,1,0,1,0,1,100
February 28 2023,Chelan,WA,Truck,19,0,19,23118,23137,0.08
May 31 2022,Columbia,OR,Passenger,1,0,1,21,22,4.55
May 31 2022,Kauai,HI,Passenger,1,0,1,18,19,5.26
January 31 2023,Plaquemines,LA,Passenger,1,1,2,19,21,9.52
May 31 2018,Spokane,WA,Passenger,324,302,626,302364,302990,0.21
May 31 2019,Island,WA,Passenger,314,235,549,63290,63839,0.86
January 31 2017,Hawaii,HI,Passenger,1,0,1,94,95,1.05
May 31 2022,Collier,FL,Passenger,1,0,1,17,18,5.56
October 31 2019,Whatcom,WA,Truck,2,0,2,43089,43091,0
April 30 2018,Tarrant,TX,Passenger,1,0,1,218,219,0.46
February 28 2022,Newport,RI,Passenger,0,1,1,79,80,1.25
February 28 2021,Pennington,SD,Passenger,1,0,1,33,34,2.94
October 31 2019,Rogers,OK,Passenger,1,0,1,8,9,11.11
November 30 2022,Ulster,NY,Passenger,1,0,1,10,11,9.09
December 31 2022,Washington,MD,Passenger,2,0,2,14,16,12.5
January 31 2017,King,WA,Truck,8,1,9,191048,191057,0
December 31 2017,Okanogan,WA,Truck,0,0,0,16266,16266,0
July 31 2023,Muscogee,GA,Passenger,1,2,3,103,106,2.83
July 31 2018,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
July 31 2022,Wichita,TX,Passenger,1,0,1,42,43,2.33
November 30 2021,Jefferson,WA,Passenger,371,196,567,24769,25336,2.24
April 30 2024,Maricopa,AZ,Passenger,10,3,13,567,580,2.24
July 31 2019,Lincoln,WA,Truck,0,0,0,4684,4684,0
November 30 2022,Orange,NC,Passenger,0,1,1,6,7,14.29
April 30 2021,Danville,VA,Passenger,1,0,1,0,1,100
September 30 2018,Grant,WA,Truck,0,0,0,26062,26062,0
December 31 2018,Lincoln,WA,Truck,0,0,0,4638,4638,0
November 30 2022,Palm Beach,FL,Passenger,2,1,3,59,62,4.84
November 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50
June 30 2020,Thurston,WA,Passenger,1141,735,1876,196726,198602,0.94
March 31 2023,Asotin,WA,Passenger,32,21,53,12379,12432,0.43
July 31 2024,Adams,WA,Passenger,35,21,56,12723,12779,0.44
July 31 2023,Jefferson,NY,Passenger,2,0,2,195,197,1.02
May 31 2023,Ray,MO,Passenger,0,1,1,0,1,100
July 31 2021,King,WA,Passenger,31546,9347,40893,1365757,1406650,2.91
June 30 2017,Yakima,WA,Truck,0,0,0,57342,57342,0
May 31 2022,Loudoun,VA,Passenger,2,1,3,67,70,4.29
February 29 2024,Meade,KY,Passenger,1,0,1,16,17,5.88
September 30 2021,Los Angeles,CA,Passenger,6,9,15,923,938,1.6
December 31 2022,Montgomery,MD,Passenger,4,3,7,201,208,3.37
March 31 2023,Palm Beach,FL,Passenger,2,1,3,55,58,5.17
June 30 2021,Pierce,WA,Passenger,3468,1994,5462,559803,565265,0.97
May 31 2017,Fairfax,VA,Passenger,3,2,5,853,858,0.58
August 31 2018,Fairfax,VA,Passenger,3,1,4,816,820,0.49
October 31 2021,San Joaquin,CA,Passenger,1,1,2,105,107,1.87
March 31 2017,Benton,WA,Truck,0,0,0,39850,39850,0
May 31 2018,Pacific,WA,Truck,0,0,0,7583,7583,0
December 31 2018,Washington,OR,Passenger,0,1,1,485,486,0.21
November 30 2018,DeKalb,GA,Passenger,1,0,1,81,82,1.22
September 30 2021,Richland,SC,Passenger,0,1,1,141,142,0.7
July 31 2021,Lane,OR,Passenger,0,2,2,134,136,1.47
February 28 2021,Yakima,WA,Truck,0,0,0,61132,61132,0
June 30 2023,Kern,CA,Passenger,1,1,2,181,183,1.09
January 31 2024,Pulaski,MO,Passenger,2,0,2,92,94,2.13
March 31 2021,Lee,FL,Passenger,1,0,1,41,42,2.38
September 30 2020,Gwinnett,GA,Passenger,1,0,1,73,74,1.35
December 31 2023,Honolulu,HI,Passenger,5,2,7,267,274,2.55
January 31 2020,Franklin,WA,Passenger,57,75,132,61070,61202,0.22
March 31 2020,Skamania,WA,Passenger,29,17,46,8705,8751,0.53
July 31 2018,Palm Beach,FL,Passenger,0,2,2,86,88,2.27
November 30 2019,Contra Costa,CA,Passenger,3,2,5,347,352,1.42
March 31 2022,New London,CT,Passenger,2,4,6,206,212,2.83
February 28 2017,Mercer,NJ,Passenger,0,1,1,21,22,4.55
September 30 2018,Prince George,VA,Passenger,0,1,1,74,75,1.33
July 31 2020,Hillsborough,FL,Passenger,0,1,1,181,182,0.55
July 31 2024,Pierce,WA,Truck,361,0,361,129308,129669,0.28
March 31 2021,Okanogan,WA,Passenger,56,35,91,26205,26296,0.35
April 30 2019,Flathead,MT,Passenger,1,0,1,65,66,1.52
May 31 2024,Hoke,NC,Passenger,1,0,1,57,58,1.72
May 31 2021,Bucks,PA,Passenger,1,0,1,21,22,4.55
April 30 2024,Wilson,TX,Passenger,0,1,1,3,4,25
April 30 2022,Stevens,WA,Passenger,65,52,117,30058,30175,0.39
March 31 2022,Franklin,WA,Truck,0,0,0,20916,20916,0
July 31 2021,Tom Green,TX,Passenger,0,1,1,23,24,4.17
October 31 2023,Utah,UT,Passenger,1,0,1,88,89,1.12
March 31 2023,Napa,CA,Passenger,0,1,1,14,15,6.67
June 30 2019,Island,WA,Passenger,316,241,557,63325,63882,0.87
July 31 2020,Clallam,WA,Passenger,237,169,406,50043,50449,0.8
November 30 2020,San Diego,CA,Passenger,15,2,17,2720,2737,0.62
September 30 2020,Boulder,CO,Passenger,1,1,2,47,49,4.08
January 31 2021,Travis,TX,Passenger,3,3,6,186,192,3.12
February 28 2018,DuPage,IL,Passenger,1,0,1,68,69,1.45
May 31 2023,Virginia Beach,VA,Truck,1,0,1,111,112,0.89
September 30 2019,Lewis,WA,Passenger,107,103,210,59350,59560,0.35
April 30 2021,Franklin,WA,Passenger,109,95,204,61908,62112,0.33
May 31 2024,Skagit,WA,Passenger,1492,533,2025,87823,89848,2.25
May 31 2023,Allen,IN,Passenger,1,0,1,14,15,6.67
February 28 2021,Jefferson,WA,Truck,0,0,0,9571,9571,0
September 30 2017,Mercer,NJ,Passenger,0,1,1,15,16,6.25
October 31 2019,King,WA,Passenger,21364,7389,28753,1395410,1424163,2.02
June 30 2018,Pend Oreille,WA,Passenger,5,5,10,9549,9559,0.1
May 31 2023,Escambia,FL,Passenger,0,1,1,139,140,0.71
September 30 2021,Washtenaw,MI,Passenger,0,1,1,31,32,3.12
July 31 2023,Carroll,MD,Passenger,0,1,1,18,19,5.26
March 31 2019,Thurston,WA,Truck,0,0,0,54931,54931,0
April 30 2019,Harris,TX,Passenger,0,1,1,283,284,0.35
February 28 2019,Penobscot,ME,Passenger,0,1,1,13,14,7.14
September 30 2019,Spokane,WA,Passenger,595,444,1039,313432,314471,0.33
March 31 2020,DeKalb,GA,Passenger,1,0,1,86,87,1.15
January 31 2019,Cumberland,NC,Passenger,1,2,3,536,539,0.56
March 31 2020,New Haven,CT,Passenger,0,2,2,40,42,4.76
October 31 2023,Beaufort,SC,Passenger,1,0,1,28,29,3.45
October 31 2023,Collin,TX,Passenger,4,0,4,44,48,8.33
June 30 2019,Harris,TX,Passenger,1,1,2,282,284,0.7
March 31 2024,Walla Walla,WA,Truck,10,0,10,13594,13604,0.07
May 31 2019,Pinal,AZ,Passenger,2,0,2,200,202,0.99
November 30 2022,Cumberland,PA,Passenger,1,0,1,43,44,2.27
March 31 2024,Kootenai,ID,Truck,1,0,1,20,21,4.76
February 28 2022,Jefferson,WA,Passenger,393,203,596,24657,25253,2.36
February 28 2023,Walla Walla,WA,Truck,3,0,3,13821,13824,0.02
April 30 2024,Douglas,WA,Passenger,277,91,368,28885,29253,1.26
January 31 2020,Salt Lake,UT,Passenger,1,0,1,204,205,0.49
July 31 2023,Maui,HI,Passenger,1,0,1,23,24,4.17
October 31 2019,District of Columbia,DC,Passenger,1,1,2,198,200,1
February 28 2021,Oldham,KY,Passenger,0,1,1,4,5,20
August 31 2020,Walla Walla,WA,Passenger,81,65,146,35872,36018,0.41
February 28 2023,San Bernardino,CA,Passenger,3,1,4,331,335,1.19
April 30 2018,Maui,HI,Passenger,1,0,1,61,62,1.61
November 30 2023,Walla Walla,WA,Truck,9,0,9,13696,13705,0.07
August 31 2018,San Francisco,CA,Passenger,1,1,2,124,126,1.59
November 30 2023,Charleston,SC,Passenger,1,2,3,49,52,5.77
November 30 2023,Bartow,GA,Passenger,0,1,1,3,4,25
April 30 2018,Kitsap,WA,Truck,1,0,1,52993,52994,0
January 31 2020,Yakima,WA,Truck,0,0,0,59626,59626,0
March 31 2021,Wahkiakum,WA,Truck,0,0,0,1786,1786,0
October 31 2020,Leavenworth,KS,Passenger,0,1,1,115,116,0.86
August 31 2023,Travis,TX,Passenger,1,1,2,93,95,2.11
August 31 2022,Essex,NJ,Passenger,2,0,2,11,13,15.38
March 31 2024,Stafford,VA,Passenger,3,0,3,71,74,4.05
August 31 2020,Middlesex,MA,Passenger,1,0,1,94,95,1.05
December 31 2021,Lake,FL,Passenger,1,0,1,25,26,3.85
September 30 2018,Los Angeles,CA,Passenger,5,5,10,1161,1171,0.85
April 30 2020,Stevens,WA,Truck,0,0,0,18607,18607,0
October 31 2020,Douglas,WA,Truck,0,0,0,12409,12409,0
August 31 2019,Goochland,VA,Passenger,1,1,2,268,270,0.74
January 31 2018,Virginia Beach,VA,Passenger,2,1,3,670,673,0.45
July 31 2020,Wahkiakum,WA,Passenger,6,6,12,3001,3013,0.4
June 30 2022,Kings,CA,Passenger,2,1,3,317,320,0.94
March 31 2024,Grays Harbor,WA,Truck,19,0,19,20675,20694,0.09
November 30 2023,Santa Cruz,CA,Passenger,1,0,1,21,22,4.55
December 31 2022,Denton,TX,Passenger,2,0,2,63,65,3.08
March 31 2023,Carroll,MD,Passenger,0,1,1,21,22,4.55
February 29 2024,Brevard,FL,Passenger,1,0,1,58,59,1.69
November 30 2020,Greene,MO,Passenger,0,1,1,35,36,2.78
April 30 2019,Vigo,IN,Passenger,1,0,1,5,6,16.67
September 30 2021,Sevier,AR,Passenger,0,1,1,0,1,100
January 31 2023,Alexandria,VA,Passenger,3,0,3,104,107,2.8
May 31 2021,Goochland,VA,Passenger,4,2,6,254,260,2.31
November 30 2018,Franklin,WA,Truck,0,0,0,18981,18981,0
April 30 2021,Allegheny,PA,Passenger,2,1,3,78,81,3.7
March 31 2018,Tarrant,TX,Passenger,1,0,1,221,222,0.45
May 31 2023,Portsmouth,VA,Passenger,0,1,1,62,63,1.59
July 31 2023,Norfolk,VA,Passenger,2,2,4,288,292,1.37
September 30 2023,Philadelphia,PA,Passenger,0,1,1,38,39,2.56
April 30 2018,Lewis,WA,Truck,0,0,0,25312,25312,0
February 28 2023,Kittitas,WA,Truck,6,0,6,14564,14570,0.04
July 31 2018,Brevard,FL,Passenger,0,1,1,94,95,1.05
May 31 2021,Contra Costa,CA,Passenger,3,3,6,261,267,2.25
December 31 2023,Newport,RI,Passenger,0,2,2,55,57,3.51
December 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20
August 31 2019,Ada,ID,Passenger,0,2,2,319,321,0.62
April 30 2020,Bucks,PA,Passenger,1,0,1,24,25,4
January 31 2019,Norfolk,VA,Passenger,2,2,4,341,345,1.16
June 30 2019,Denver,CO,Passenger,1,0,1,137,138,0.72
November 30 2023,Skagit,WA,Truck,30,0,30,31713,31743,0.09
October 31 2023,Douglas,WA,Truck,8,0,8,13045,13053,0.06
June 30 2024,Virginia Beach,VA,Truck,1,0,1,95,96,1.04
January 31 2017,Ferry,WA,Truck,0,0,0,3581,3581,0
February 28 2021,Pacific,WA,Truck,0,0,0,7822,7822,0
December 31 2018,Kootenai,ID,Passenger,1,2,3,221,224,1.34
January 31 2023,Tom Green,TX,Passenger,0,1,1,19,20,5
August 31 2018,Montgomery,MD,Passenger,1,0,1,291,292,0.34
November 30 2021,Montgomery,MD,Passenger,3,2,5,222,227,2.2
June 30 2019,Franklin,WA,Truck,0,0,0,19265,19265,0
May 31 2024,Hudson,NJ,Passenger,2,0,2,15,17,11.76
September 30 2018,Salt Lake,UT,Passenger,1,0,1,226,227,0.44
October 31 2019,San Juan,WA,Passenger,236,76,312,14405,14717,2.12
July 31 2018,Washoe,NV,Passenger,1,0,1,123,124,0.81
April 30 2024,New London,CT,Passenger,2,4,6,151,157,3.82
July 31 2020,Mercer,NJ,Passenger,0,1,1,13,14,7.14
April 30 2023,DuPage,IL,Passenger,2,1,3,32,35,8.57
August 31 2023,Santa Clara,CA,Passenger,19,2,21,188,209,10.05
January 31 2023,Moore,NC,Passenger,0,1,1,106,107,0.93
May 31 2024,Kootenai,ID,Truck,1,0,1,19,20,5
June 30 2017,Clark,WA,Truck,0,0,0,77626,77626,0
May 31 2023,Spokane,WA,Passenger,2227,1059,3286,322003,325289,1.01
March 31 2018,Broward,FL,Passenger,0,1,1,135,136,0.74
October 31 2017,Travis,TX,Passenger,1,1,2,199,201,1
August 31 2019,Kern,CA,Passenger,0,1,1,224,225,0.44
September 30 2023,Ray,MO,Passenger,0,1,1,0,1,100
June 30 2024,Yuba,CA,Passenger,1,0,1,50,51,1.96
January 31 2021,Tulsa,OK,Passenger,1,1,2,50,52,3.85
July 31 2019,Lake,FL,Passenger,1,0,1,22,23,4.35
April 30 2020,Thurston,WA,Passenger,1139,729,1868,197316,199184,0.94
November 30 2021,Adams,WA,Truck,0,0,0,5420,5420,0
October 31 2021,Kings,NY,Passenger,1,0,1,75,76,1.32
December 31 2018,Clallam,WA,Truck,0,0,0,21641,21641,0
May 31 2019,Stevens,WA,Truck,0,0,0,18671,18671,0
December 31 2018,Douglas,WA,Truck,0,0,0,12157,12157,0
